step, energy
1.0,-70.741006
2.0,-70.741006
3.0,-72.087307
4.0,-72.087307
5.0,-72.087307
6.0,-70.720705
7.0,-70.720705
8.0,-70.197007
9.0,-71.563609
10.0,-72.087307
11.0,-72.087307
12.0,-72.087307
13.0,-72.087307
14.0,-72.087307
15.0,-72.087307
16.0,-72.087307
17.0,-72.087307
18.0,-76.598012
19.0,-76.598012
20.0,-76.598012
21.0,-75.211718
22.0,-76.598012
23.0,-76.598012
24.0,-76.598012
25.0,-75.211718
26.0,-75.211718
27.0,-75.211718
28.0,-76.598012
29.0,-76.598012
30.0,-76.598012
31.0,-76.598012
32.0,-76.598012
33.0,-76.598012
34.0,-76.598012
35.0,-76.598012
36.0,-75.211718
37.0,-74.518571
38.0,-75.211718
39.0,-73.858851
40.0,-73.858851
41.0,-75.211718
42.0,-75.211718
43.0,-75.211718
44.0,-75.211718
45.0,-75.211718
46.0,-76.598012
47.0,-76.598012
48.0,-76.598012
49.0,-76.598012
50.0,-76.598012
51.0,-76.598012
52.0,-72.087307
53.0,-72.087307
54.0,-72.087307
55.0,-70.711542
56.0,-70.711542
57.0,-70.015628
58.0,-70.711542
59.0,-70.019732
60.0,-70.019732
61.0,-69.320352
62.0,-68.628613
63.0,-67.928743
64.0,-67.928743
65.0,-68.621923
66.0,-67.928632
67.0,-67.235277
68.0,-67.235277
69.0,-67.235277
70.0,-67.235277
71.0,-67.928996
72.0,-67.235944
73.0,-67.928996
74.0,-68.62978
75.0,-68.62978
76.0,-68.106082
77.0,-68.106082
78.0,-68.106082
79.0,-68.797587
80.0,-69.489092
81.0,-70.182489
82.0,-70.182489
83.0,-70.182489
84.0,-68.796195
85.0,-67.311688
86.0,-66.618291
87.0,-66.618291
88.0,-67.287693
89.0,-67.98109
90.0,-69.367384
91.0,-69.367384
92.0,-70.748503
93.0,-70.143442
94.0,-70.748503
95.0,-69.364877
96.0,-70.748503
97.0,-70.068836
98.0,-68.823535
99.0,-68.823535
100.0,-68.823535
101.0,-68.823535
102.0,-68.823535
103.0,-70.068836
104.0,-70.748503
105.0,-70.748503
106.0,-70.028213
107.0,-70.284072
108.0,-69.597708
109.0,-69.597708
110.0,-69.597708
111.0,-68.911344
112.0,-67.535771
113.0,-67.535771
114.0,-68.911344
115.0,-69.651872
116.0,-69.396013
117.0,-70.095436
118.0,-70.095436
119.0,-70.095436
120.0,-70.095436
121.0,-70.761233
122.0,-72.087307
123.0,-70.708631
124.0,-72.087307
125.0,-72.087307
126.0,-72.087307
127.0,-72.087307
128.0,-70.701013
129.0,-72.087307
130.0,-72.087307
131.0,-72.087307
132.0,-72.087307
133.0,-72.087307
134.0,-72.087307
135.0,-70.701013
136.0,-72.087307
137.0,-72.087307
138.0,-72.087307
139.0,-72.087307
140.0,-73.038057
141.0,-73.038057
142.0,-72.087307
143.0,-72.087307
144.0,-70.701013
145.0,-70.701013
146.0,-72.087307
147.0,-72.087307
148.0,-73.210024
149.0,-73.210024
150.0,-72.087307
151.0,-72.087307
152.0,-72.087307
153.0,-72.087307
154.0,-70.701013
155.0,-72.087307
156.0,-72.087307
157.0,-72.087307
158.0,-72.087307
159.0,-72.087307
160.0,-72.087307
161.0,-72.087307
162.0,-72.087307
163.0,-72.087307
164.0,-72.087307
165.0,-72.087307
166.0,-70.701013
167.0,-69.318276
168.0,-70.70457
169.0,-70.70457
170.0,-70.70457
171.0,-70.013201
172.0,-70.013201
173.0,-71.814109
174.0,-70.429877
175.0,-70.703075
176.0,-70.703075
177.0,-69.326402
178.0,-70.703075
179.0,-72.087307
180.0,-70.701013
181.0,-72.087307
182.0,-70.701013
183.0,-70.701013
184.0,-72.087307
185.0,-72.087307
186.0,-72.087307
187.0,-70.813499
188.0,-70.813499
189.0,-69.983944
190.0,-70.813499
191.0,-70.012493
192.0,-70.012493
193.0,-70.012493
194.0,-70.704098
195.0,-72.087307
196.0,-72.087307
197.0,-70.701013
198.0,-70.701013
199.0,-71.270004
200.0,-71.270004
201.0,-71.270004
202.0,-71.270004
203.0,-71.270004
204.0,-71.270004
205.0,-69.490117
206.0,-69.490117
207.0,-69.490117
208.0,-71.270004
209.0,-70.576857
210.0,-70.576857
211.0,-71.270004
212.0,-71.270004
213.0,-71.270004
214.0,-71.270004
215.0,-72.656298
216.0,-72.087307
217.0,-72.087307
218.0,-70.827901
219.0,-72.087307
220.0,-72.087307
221.0,-70.701013
222.0,-72.087307
223.0,-72.087307
224.0,-70.736882
225.0,-69.350588
226.0,-67.964294
227.0,-69.314719
228.0,-70.701013
229.0,-72.087307
230.0,-77.152934
231.0,-77.152934
232.0,-77.152934
233.0,-77.152934
234.0,-77.152934
235.0,-77.152934
236.0,-77.152934
237.0,-77.152934
238.0,-77.152934
239.0,-76.526898
240.0,-76.526898
241.0,-76.526898
242.0,-75.142655
243.0,-75.142655
244.0,-75.142655
245.0,-75.142655
246.0,-75.142655
247.0,-75.142655
248.0,-75.142655
249.0,-76.526898
250.0,-76.526898
251.0,-76.526898
252.0,-77.152934
253.0,-77.152934
254.0,-77.018799
255.0,-77.018799
256.0,-77.018799
257.0,-77.018799
258.0,-77.018799
259.0,-77.018799
260.0,-77.018799
261.0,-77.018799
262.0,-77.018799
263.0,-77.018799
264.0,-82.924135
265.0,-83.05827
266.0,-83.05827
267.0,-83.05827
268.0,-83.05827
269.0,-83.05827
270.0,-83.05827
271.0,-81.69168
272.0,-81.69168
273.0,-81.69168
274.0,-81.69168
275.0,-81.69168
276.0,-81.69168
277.0,-81.69168
278.0,-81.69168
279.0,-80.305386
280.0,-81.69168
281.0,-81.557545
282.0,-82.924135
283.0,-82.924135
284.0,-82.924135
285.0,-82.924135
286.0,-82.924135
287.0,-81.538296
288.0,-82.924135
289.0,-83.671014
290.0,-83.671014
291.0,-83.671014
292.0,-83.671014
293.0,-83.671014
294.0,-83.671014
295.0,-83.671014
296.0,-83.671014
297.0,-83.671014
298.0,-81.057706
299.0,-83.671014
300.0,-83.671014
301.0,-83.671014
302.0,-83.671014
303.0,-83.671014
304.0,-83.671014
305.0,-83.671014
306.0,-82.924135
307.0,-82.924135
308.0,-82.924135
309.0,-82.924135
310.0,-82.924135
311.0,-82.924135
312.0,-82.924135
313.0,-85.045787
314.0,-83.667254
315.0,-83.667254
316.0,-83.667254
317.0,-83.667254
318.0,-83.667254
319.0,-83.667254
320.0,-83.667254
321.0,-83.667254
322.0,-83.667254
323.0,-83.667254
324.0,-83.667254
325.0,-83.667254
326.0,-82.28096
327.0,-82.28096
328.0,-81.591693
329.0,-81.591693
330.0,-81.591693
331.0,-80.903791
332.0,-80.903791
333.0,-80.903791
334.0,-80.903791
335.0,-81.592716
336.0,-81.592716
337.0,-82.97901
338.0,-82.97901
339.0,-82.97901
340.0,-82.97901
341.0,-82.97901
342.0,-82.97901
343.0,-83.699485
344.0,-83.699485
345.0,-82.983092
346.0,-82.548273
347.0,-83.264666
348.0,-83.264666
349.0,-83.264666
350.0,-83.264666
351.0,-83.264666
352.0,-83.264666
353.0,-84.610967
354.0,-84.610967
355.0,-84.610967
356.0,-84.610967
357.0,-84.610967
358.0,-83.224673
359.0,-83.358808
360.0,-83.358808
361.0,-83.358808
362.0,-83.793627
363.0,-83.793627
364.0,-82.407333
365.0,-82.407333
366.0,-82.407333
367.0,-82.263513
368.0,-82.263513
369.0,-82.263513
370.0,-82.263513
371.0,-82.407333
372.0,-82.407333
373.0,-82.407333
374.0,-82.273198
375.0,-82.273198
376.0,-82.273198
377.0,-82.273198
378.0,-82.273198
379.0,-83.659492
380.0,-83.659492
381.0,-85.045786
382.0,-85.045786
383.0,-85.045786
384.0,-85.045786
385.0,-85.045786
386.0,-85.179921
387.0,-85.179921
388.0,-85.179921
389.0,-85.179921
390.0,-85.179921
391.0,-84.463528
392.0,-84.463528
393.0,-84.463528
394.0,-84.463528
395.0,-84.463528
396.0,-84.463528
397.0,-85.179921
398.0,-85.179921
399.0,-85.179921
400.0,-83.793627
401.0,-83.793627
402.0,-83.793627
403.0,-82.407333
404.0,-82.407333
405.0,-82.407333
406.0,-83.793627
407.0,-83.793627
408.0,-83.793627
409.0,-85.179921
410.0,-85.179921
411.0,-85.179921
412.0,-83.058269
413.0,-83.058269
414.0,-83.058269
415.0,-82.924134
416.0,-82.924134
417.0,-82.924134
418.0,-81.571723
419.0,-80.897894
420.0,-79.5116
421.0,-79.5116
422.0,-79.5116
423.0,-78.818453
424.0,-78.952588
425.0,-78.952588
426.0,-78.952588
427.0,-79.645735
428.0,-79.645735
429.0,-79.645735
430.0,-79.645735
431.0,-79.645735
432.0,-79.645735
433.0,-81.032029
434.0,-81.032029
435.0,-81.032029
436.0,-79.645735
437.0,-79.645735
438.0,-81.032029
439.0,-81.032029
440.0,-81.032029
441.0,-80.296724
442.0,-80.296724
443.0,-79.606012
444.0,-79.606012
445.0,-80.296724
446.0,-80.296724
447.0,-80.296724
448.0,-81.032029
449.0,-81.032029
450.0,-81.032029
451.0,-81.032029
452.0,-81.032029
453.0,-81.705858
454.0,-81.705858
455.0,-81.705858
456.0,-81.705858
457.0,-83.058269
458.0,-83.058269
459.0,-83.058269
460.0,-83.058269
461.0,-82.924134
462.0,-82.924134
463.0,-82.924134
464.0,-82.924134
465.0,-82.924134
466.0,-82.924134
467.0,-82.924134
468.0,-81.53784
469.0,-81.53784
470.0,-81.53784
471.0,-81.53784
472.0,-80.932779
473.0,-82.319073
474.0,-82.319073
475.0,-82.319073
476.0,-82.453208
477.0,-82.453208
478.0,-82.453208
479.0,-82.453208
480.0,-82.453208
481.0,-82.453208
482.0,-82.453208
483.0,-81.18902
484.0,-81.18902
485.0,-81.18902
486.0,-80.359465
487.0,-80.359465
488.0,-80.359465
489.0,-81.18902
490.0,-81.18902
491.0,-80.556926
492.0,-80.556926
493.0,-80.556926
494.0,-80.255685
495.0,-80.652899
496.0,-80.652899
