step, energy
1.0,-346.573591
2.0,-346.573591
3.0,-346.573591
4.0,-345.187297
5.0,-346.573591
6.0,-345.187297
7.0,-344.49415
8.0,-343.801003
9.0,-343.107856
10.0,-341.721562
11.0,-340.335268
12.0,-339.642121
13.0,-338.948974
14.0,-338.255827
15.0,-338.948974
16.0,-339.642121
17.0,-341.0195
18.0,-339.642121
19.0,-340.335268
20.0,-339.642121
21.0,-340.335268
22.0,-339.642121
23.0,-340.335268
24.0,-341.721562
25.0,-343.107856
26.0,-341.721562
27.0,-343.107856
28.0,-341.721562
29.0,-343.107856
30.0,-344.49415
31.0,-343.801003
32.0,-342.414709
33.0,-343.107856
34.0,-341.721562
35.0,-341.028415
36.0,-341.721562
37.0,-340.335268
38.0,-341.721562
39.0,-341.028415
40.0,-340.335268
41.0,-339.332598
42.0,-337.946304
43.0,-337.946304
44.0,-336.56001
45.0,-336.058675
46.0,-334.672381
47.0,-335.365528
48.0,-334.622293
49.0,-335.365528
50.0,-335.866863
51.0,-334.480569
52.0,-335.173716
53.0,-334.110987
54.0,-333.41784
55.0,-333.41784
56.0,-332.413523
57.0,-333.10667
58.0,-331.720402
59.0,-333.10667
60.0,-331.81665
61.0,-332.509797
62.0,-331.123503
63.0,-330.368335
64.0,-328.982041
65.0,-328.288894
66.0,-328.288894
67.0,-327.595747
68.0,-328.982041
69.0,-330.368335
70.0,-328.982041
71.0,-330.368335
72.0,-331.049087
73.0,-330.35594
74.0,-331.049087
75.0,-329.662793
76.0,-330.35594
77.0,-329.533483
78.0,-328.147189
79.0,-328.840336
80.0,-328.840336
81.0,-329.662793
82.0,-331.049087
83.0,-332.435381
84.0,-331.241813
85.0,-329.855519
86.0,-330.610687
87.0,-331.996981
88.0,-331.303834
89.0,-332.690128
90.0,-331.996981
91.0,-335.943775
92.0,-335.943775
93.0,-335.250628
94.0,-337.744749
95.0,-337.051602
96.0,-335.665308
97.0,-334.403209
98.0,-333.016915
99.0,-334.403209
100.0,-335.789503
101.0,-337.579285
102.0,-336.886138
103.0,-335.499844
104.0,-334.11355
105.0,-332.727256
106.0,-331.340962
107.0,-332.53453
108.0,-331.159333
109.0,-329.773039
110.0,-330.775709
111.0,-332.162003
112.0,-331.835847
113.0,-331.835847
114.0,-331.1427
115.0,-331.1427
116.0,-329.760935
117.0,-331.050955
118.0,-329.664661
119.0,-328.971514
120.0,-328.278367
121.0,-327.58522
122.0,-328.278367
123.0,-328.278367
124.0,-328.971514
125.0,-328.278367
126.0,-327.516068
127.0,-326.129774
128.0,-324.74348
129.0,-324.74348
130.0,-324.050333
131.0,-323.357186
132.0,-324.050333
133.0,-324.050333
134.0,-323.346089
135.0,-321.959795
136.0,-322.722094
137.0,-321.3358
138.0,-321.3358
139.0,-319.949506
140.0,-319.949506
141.0,-318.563212
142.0,-319.949506
143.0,-318.565574
144.0,-319.951868
145.0,-319.951868
146.0,-320.278024
147.0,-318.488242
148.0,-314.62391
149.0,-313.930763
150.0,-312.544469
151.0,-311.851322
152.0,-311.158175
153.0,-310.465028
154.0,-311.158175
155.0,-310.465028
156.0,-309.771881
157.0,-309.771881
158.0,-311.158175
159.0,-311.158175
160.0,-311.158175
161.0,-312.542107
162.0,-313.928401
163.0,-312.646385
164.0,-311.953238
165.0,-313.339532
166.0,-311.953238
167.0,-312.646385
168.0,-313.339532
169.0,-312.646385
170.0,-311.301943
171.0,-310.608796
172.0,-311.99509
173.0,-311.301943
174.0,-309.915649
175.0,-309.915649
176.0,-309.222502
177.0,-310.608796
178.0,-311.870895
179.0,-310.484601
180.0,-310.484601
181.0,-309.273627
182.0,-311.008716
183.0,-311.701863
184.0,-310.315569
185.0,-309.618727
186.0,-310.311874
187.0,-312.116043
188.0,-312.116043
189.0,-312.116043
190.0,-312.116043
191.0,-313.327017
192.0,-314.713311
193.0,-313.780922
194.0,-313.087775
195.0,-313.780922
196.0,-315.167216
197.0,-316.55351
198.0,-317.939804
199.0,-318.632673
200.0,-320.018967
201.0,-320.712593
202.0,-319.326299
203.0,-320.019446
204.0,-319.326299
205.0,-320.019446
206.0,-319.326299
207.0,-318.654078
208.0,-319.347225
209.0,-318.654078
210.0,-319.347225
211.0,-320.733519
212.0,-322.119813
213.0,-322.824057
214.0,-322.13091
215.0,-321.437763
216.0,-320.051469
217.0,-320.051469
218.0,-318.665175
219.0,-317.972028
220.0,-317.278665
221.0,-316.585631
222.0,-316.585631
223.0,-315.199337
224.0,-315.199337
225.0,-313.826951
226.0,-313.826951
227.0,-312.78586
228.0,-312.78586
229.0,-311.935721
230.0,-311.935721
231.0,-312.628868
232.0,-311.242574
233.0,-309.950399
234.0,-309.257252
235.0,-307.870958
236.0,-305.294375
237.0,-305.987522
238.0,-305.294375
239.0,-306.680669
240.0,-305.294375
241.0,-304.601228
242.0,-305.294375
243.0,-315.069701
244.0,-314.37632
245.0,-315.069467
246.0,-314.37632
247.0,-313.682962
248.0,-312.296668
249.0,-312.989734
250.0,-312.989734
251.0,-311.60344
252.0,-312.989571
253.0,-312.296424
254.0,-313.682718
255.0,-312.296424
256.0,-313.477581
257.0,-312.091287
258.0,-310.854359
259.0,-310.161212
260.0,-309.468065
261.0,-308.286908
262.0,-307.593761
263.0,-306.900614
264.0,-306.207467
265.0,-304.821173
266.0,-303.435873
267.0,-304.12902
268.0,-303.792178
269.0,-305.178472
270.0,-306.564766
271.0,-305.871619
272.0,-307.257913
273.0,-305.874231
274.0,-306.72437
275.0,-308.093541
276.0,-308.786688
277.0,-310.172982
278.0,-310.172982
279.0,-309.446139
280.0,-310.139286
281.0,-309.467065
282.0,-307.209823
283.0,-305.823529
284.0,-305.224165
285.0,-304.531018
286.0,-305.572109
287.0,-304.185815
288.0,-305.572109
289.0,-305.908951
290.0,-305.908951
291.0,-306.602098
292.0,-305.215804
293.0,-295.440478
294.0,-294.613666
295.0,-291.849016
296.0,-290.462722
297.0,-291.155869
298.0,-289.769575
299.0,-291.155869
300.0,-289.769575
301.0,-289.076428
302.0,-288.383213
303.0,-287.737125
304.0,-286.350831
305.0,-284.964537
306.0,-284.267145
307.0,-282.880851
308.0,-284.267145
309.0,-282.880851
310.0,-281.766819
311.0,-283.152119
312.0,-282.458972
313.0,-281.072678
314.0,-280.420769
315.0,-279.727622
316.0,-281.113916
317.0,-280.418251
318.0,-280.004845
319.0,-281.391139
320.0,-282.023675
321.0,-280.727193
322.0,-280.094657
323.0,-278.708363
324.0,-277.322069
325.0,-278.697266
326.0,-279.629655
327.0,-278.936508
328.0,-278.243361
329.0,-277.550214
330.0,-278.936508
331.0,-278.936508
332.0,-278.24339
333.0,-278.915611
334.0,-279.600237
335.0,-278.213943
336.0,-279.600237
337.0,-278.86007
338.0,-278.166923
339.0,-278.177856
340.0,-278.871003
341.0,-278.220135
342.0,-279.383221
343.0,-278.690074
344.0,-277.30378
345.0,-276.610633
346.0,-283.354427
347.0,-281.968133
348.0,-281.274986
349.0,-280.581839
350.0,-281.968133
351.0,-281.274986
352.0,-282.66128
353.0,-281.968133
354.0,-280.581839
355.0,-279.879677
356.0,-278.493383
357.0,-278.493383
358.0,-277.800236
359.0,-278.493383
360.0,-279.879677
361.0,-279.18653
362.0,-279.18653
363.0,-277.802
364.0,-278.495147
365.0,-277.802
366.0,-276.479941
367.0,-276.469008
368.0,-275.775861
369.0,-276.469008
370.0,-275.775861
371.0,-279.722655
372.0,-280.499131
373.0,-281.352708
374.0,-282.674767
375.0,-281.98162
376.0,-281.269333
377.0,-280.576186
378.0,-281.269333
379.0,-281.269333
380.0,-280.576186
381.0,-279.293289
382.0,-278.13724
383.0,-274.190446
384.0,-273.497299
385.0,-273.497299
386.0,-273.497299
387.0,-272.804152
388.0,-271.417858
389.0,-270.724711
390.0,-270.083262
391.0,-269.390115
392.0,-270.083262
393.0,-268.696968
394.0,-267.310674
395.0,-266.617527
396.0,-265.924396
397.0,-267.31069
398.0,-268.696984
399.0,-268.696984
400.0,-269.927466
401.0,-268.705478
402.0,-267.319184
403.0,-268.021346
404.0,-267.167769
405.0,-267.860916
406.0,-268.554063
407.0,-269.940357
408.0,-269.940357
409.0,-270.633504
410.0,-269.24725
411.0,-268.554103
412.0,-267.860956
413.0,-268.554103
414.0,-268.248467
415.0,-267.555299
416.0,-268.941593
417.0,-269.63474
418.0,-268.248446
419.0,-267.229871
420.0,-266.187093
421.0,-266.88024
422.0,-266.187093
423.0,-267.573387
424.0,-267.187373
425.0,-266.494226
426.0,-265.107932
427.0,-265.801056
428.0,-265.801056
429.0,-264.414762
430.0,-264.424498
431.0,-264.424498
432.0,-263.038204
433.0,-262.345057
434.0,-262.345057
435.0,-263.038204
436.0,-263.34384
437.0,-264.036987
438.0,-265.193036
439.0,-265.57905
440.0,-264.192756
441.0,-262.806462
442.0,-262.113315
443.0,-261.420168
444.0,-262.806462
445.0,-264.02845
446.0,-264.721597
447.0,-264.721597
448.0,-265.414744
449.0,-264.36916
450.0,-265.062307
451.0,-264.36916
452.0,-262.982866
453.0,-261.596572
454.0,-260.283538
455.0,-258.897244
456.0,-258.204097
457.0,-258.204097
458.0,-257.51095
459.0,-256.124656
460.0,-257.473423
461.0,-256.417048
462.0,-255.030754
463.0,-254.337607
464.0,-253.584567
465.0,-254.970861
466.0,-254.970861
467.0,-255.664008
468.0,-254.645969
469.0,-254.21918
470.0,-254.21918
471.0,-253.526045
472.0,-252.832898
473.0,-252.139751
474.0,-253.526045
475.0,-254.912339
476.0,-254.217595
477.0,-253.524448
478.0,-253.524448
479.0,-253.524448
480.0,-252.300694
481.0,-251.791407
482.0,-252.484554
483.0,-252.484554
484.0,-251.791407
485.0,-251.079633
486.0,-252.465927
487.0,-251.079633
488.0,-251.77278
489.0,-253.159074
490.0,-253.819506
491.0,-255.13254
492.0,-255.13254
493.0,-254.439393
494.0,-253.053099
495.0,-252.359952
496.0,-253.746246
497.0,-253.249189
498.0,-254.635483
499.0,-253.942336
500.0,-253.249189
501.0,-252.42249
502.0,-251.039775
503.0,-251.039775
504.0,-251.039775
505.0,-250.556756
506.0,-251.053813
507.0,-251.053813
508.0,-250.360666
509.0,-248.974372
510.0,-247.588078
511.0,-246.894931
512.0,-246.894931
513.0,-246.201784
514.0,-244.81549
515.0,-245.508637
516.0,-244.122343
517.0,-242.736049
518.0,-241.349795
519.0,-240.656648
520.0,-240.147361
521.0,-241.533655
